"id";"name";"workPhone";"mobilePhone";"fax";"shipAddress";"pocNumber";"pocName";"paymentTerms";"notes";"email";"billAddress";"fuelSurchargeFee";"number";"afe";"active"
72;"NORTH RANGE RESOURCES LLC";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
73;"NORTHSTAR AMUSEMENTS";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
74;"NORTHWINDS OF WYOMING";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
75;"NOV";"";"";"";"";"";"";"";"";"";"";0.0;0;"";""
76;"OASIS";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
77;"OLIFANT ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
78;"OXY USA INC";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
79;"PARSLEY ENERGY OPERATIONS, LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
80;"PATRIOT WELL SOLUTIONS, LLC";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
81;"PC DRILLING & SERVICE, LLC";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
82;"PDC ENERGY, INC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
83;"PERCUSSION PETROLEUM OPERATING";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
84;"PERFORMANCE DRILLING COMPANY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
85;"PERFX WIRELINE";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
86;"PETRO HARVESTOR OPERATING COMPANY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
87;"PETROSHALE";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
88;"PETROSHARE CORPORATION";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
89;"PINKY'S AGGREGATE, INC";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
90;"PIONEER ENERGY SERVICES / PENKOTA WIRELIN";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
91;"PIONEER NATURAL RESOURCES COMPANY";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
92;"PRAIRIE FIELD SERVICES";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"YES"
93;"PRECISION PIPELINE, LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
94;"PRECISION WELL SERVICE";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
95;"PREDATOR DRILLING LLC";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
96;"PREMIER BULK MANAGEMENT SYSTEMS";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
97;"PRIMEXX OPERATING CORPORATION";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
98;"PRO FRAC HEATING";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
99;"PROFRAC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
100;"PROPETRO SERVICES, INC.";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
101;"QEP ENERGY COMPANY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
102;"QES PRESSURE PUMPING LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"NO"
103;"QUASAR ENERGY SERVICES INC.";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"NO"
104;"RAVEN DRILLING";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"NO"
105;"ROCKCLIFF ENERGY LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";""
106;"ROCKPILE ENERGY SERVICES, LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"NO"
107;"ROLFSON OIL ,INC.";"";"";"";"";"";"";"";"";"";"";0.0;0;"";""
108;"ROSEHILL OPERATING CO";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
109;"SABLE PERMIAN RESOURCES LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
110;"SAMSON EXPLORATION LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
111;"SANDRIDGE ENERGY, INC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
112;"SAVANNA DRILLING";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
113;"SCALA ENERGY LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
114;"SCHLUMBERGER TECH CORP";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
115;"SELECT ENERGY";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
116;"SHELL";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
117;"SLAWSON EXPLORATION";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
118;"SM ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
119;"SRC ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
120;"STATOIL";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
121;"SUPER HEATERS LLC";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
122;"TEE'S TRUCKING";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
123;"TEK ENERGY SERVICES";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
124;"THE MARINA AT CHERRY CREEK";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
125;"THRONE PETROLEUM LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
126;"THURSTON ENERGY PARTNERS";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
127;"UPCURVE ENERGY LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
128;"US RAI-LYNN TRUCKING";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
129;"VERTEX ENERGY PARTNERS";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
130;"WARD PETROLEUM";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
131;"WHITING OIL & GAS";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
132;"WPX ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
133;"WSM INDUSTRIES";"";"";"";"";"";"";"";"";"";"";0.0;0;"";"NO"
134;"WW DRILING";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
135;"XTO ENERGY";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
136;"ZARVONA ENERGY LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
137;"ZAVANNA, LLC";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
138;"ZIMKOR LLC";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
140;"MECO IV";"";"";"";"";"";"";"";"";"";"";100.0;0;"";"YES"
142;"HAMMS WELL SERVICES";"";"";"";"";"";"";"";"";"";"";50.0;0;"";"YES"
